id,brand,brand_category,product_name,product_name_normalized,menu_category,product_description,serving_size,serving_size_unit,energy_kcal,protein_g,carbs_g,fat_g,fiber_g,sodium_mg,sugar_g,nutrition_value_type,energy_min_kcal,energy_max_kcal,protein_min_g,protein_max_g,carbs_min_g,carbs_max_g,fat_min_g,fat_max_g,primary_source_type,primary_source_url,primary_source_title,primary_source_date,secondary_source_url,source_notes,confidence_grade,merchant_claims,xiaohongshu_keywords,common_modifications,tags,research_status,last_verified_date,item_type,combo_components,calorie_uncertainty_drivers,conflicting_sources,best_current_estimate
pick-mcd-01,麦当劳,B,板烧鸡腿堡(去酱)+苹果片+无糖可乐,grilled chicken burger no sauce + apple + zero cola,减脂组合,用户UGC高频组合,1,套,,,,,,,,estimated_range,350,430,,,,,,,third_party_analysis,https://post.smzdm.com/p/az60v5po//,麦当劳=减脂餐·减脂期搭配分享,2026-09-18,https://post.smzdm.com/zz/p/ako777nr/,"UGC点值约392kcal, 无称重方法, 取±10%区间",C,,麦当劳 减脂; 板烧鸡腿堡 热量,去酱,burger; combo; high_protein,complete,2026-09-18,custom_combo,burger=板烧鸡腿堡(去酱); side=苹果片; drink=无糖可乐,酱,,350-430 kcal
pick-mcd-02,麦当劳,B,原味板烧鸡腿堡+玉米杯+零度可乐,grilled chicken burger + corn cup + zero cola,减脂组合,用户UGC高频组合,1,套,,,,,,,,estimated_range,420,510,,,,,,,third_party_analysis,https://post.smzdm.com/zz/p/ako777nr/,麦当劳减脂终极攻略400/500/600大卡套餐,2026-09-18,,"UGC点值约462kcal, 无称重方法",C,,麦当劳 减脂,薯条换玉米杯,burger; combo,complete,2026-09-18,custom_combo,burger=原味板烧鸡腿堡; side=玉米杯; drink=零度可乐,酱; 薯条是否替换,,420-510 kcal
pick-mcd-03,麦当劳,B,麦香鱼(去酱)+玉米杯+美式,filet-o-fish no sauce + corn cup + americano,减脂组合,用户UGC组合,1,套,,,,,,,,estimated_range,365,450,,,,,,,third_party_analysis,https://post.smzdm.com/p/az60v5po//,麦当劳=减脂餐·减脂期搭配分享,2026-09-18,,UGC点值约406kcal,C,,麦当劳 减脂,去酱,burger; combo,complete,2026-09-18,custom_combo,burger=麦香鱼(去酱); side=玉米杯; drink=美式,酱; 炸鱼排,,365-450 kcal
pick-kfc-01,肯德基,B,新奥尔良烤鸡腿堡(无酱)+香甜玉米杯+无糖可乐,orleans grilled chicken burger no sauce + corn + zero cola,减脂组合,用户UGC高频组合,1,套,,,,,,,,estimated_range,420,520,,,,,,,third_party_analysis,https://post.smzdm.com/p/a3rq7k6r/,减脂人肯德基点单攻略,2026-09-18,,UGC: 堡约400+玉米约70,C,,KFC 减脂怎么点,无酱,burger; combo,complete,2026-09-18,custom_combo,burger=新奥尔良烤鸡腿堡(无酱); side=香甜玉米杯; drink=无糖可乐,酱,,420-520 kcal
pick-kfc-02,肯德基,B,滋滋YES烤鸡腿堡(无酱),zizi yes grilled chicken burger no sauce,减脂组合,用户UGC单品改法,1,份,,,,,,,,estimated_range,350,430,,,,,,,third_party_analysis,https://post.smzdm.com/p/a3rq7k6r/,减脂人肯德基点单攻略,2026-09-18,,UGC点值约390kcal,C,,KFC 减脂,无酱,burger; high_protein,complete,2026-09-18,single_item,,酱,,350-430 kcal
pick-kfc-03,肯德基,B,汁汁嫩牛堡(去酱),zhizhi tender beef burger no sauce,减脂组合,用户UGC改法: 去酱460→424,1,份,,,,,,,,estimated_range,400,450,,,,,,,third_party_analysis,https://post.smzdm.com/p/a3rq7k6r/,减脂人肯德基点单攻略,2026-09-18,,UGC给出去酱delta 460→424,C,,KFC 减脂,去酱(-36kcal),burger,complete,2026-09-18,single_item,,酱,,400-450 kcal
pick-lxj-01,老乡鸡,B,小份糙米饭+卤鸡腿+青椒炒豆芽+白菜炖豆腐,small brown rice + braised chicken leg + veg x2,减脂组合,用户UGC高频组合,1,套,,,,,,,,estimated_range,530,640,,,,,,,third_party_analysis,https://post.smzdm.com/p/a3m6v66r/,老乡鸡轻养四部曲·用户真实反馈,2026-09-18,,UGC点值约587kcal; 单品可以官方4+1 per-100g复核,C,,老乡鸡 减脂,小份饭,chinese; combo; high_protein,complete,2026-09-18,custom_combo,staple=小份糙米饭; protein=卤鸡腿; veg1=青椒炒豆芽; veg2=白菜炖豆腐,炒菜油量,,530-640 kcal
pick-lxj-02,老乡鸡,B,粗粮盒+蒜蓉粉丝虾+香脆木耳+农家蒸蛋,coarse grain box + garlic vermicelli shrimp +木耳 + steamed egg,减脂组合,用户UGC组合,1,套,,,,,,,,estimated_range,420,520,,,,,,,third_party_analysis,https://post.smzdm.com/p/a3m6v66r/,老乡鸡轻养四部曲·用户真实反馈,2026-09-18,,UGC点值约469kcal,C,,老乡鸡 减脂,,chinese; combo; high_fiber,complete,2026-09-18,custom_combo,staple=粗粮盒; protein=蒜蓉粉丝虾; veg1=香脆木耳; protein2=农家蒸蛋,粉丝蒜蓉油,,420-520 kcal
pick-lxj-03,老乡鸡,B,小份米饭+鱼香肉丝+两份素菜,small rice + yuxiang shredded pork + veg x2,减脂组合,用户UGC组合,1,套,,,,,,,,estimated_range,500,600,,,,,,,third_party_analysis,https://post.smzdm.com/p/a3m6v66r/,老乡鸡轻养四部曲·用户真实反馈,2026-09-18,,UGC点值约551kcal,C,,老乡鸡 减脂,小份饭,chinese; combo,complete,2026-09-18,custom_combo,staple=小份米饭; main=鱼香肉丝; veg1=素菜; veg2=素菜,鱼香汁糖油,,500-600 kcal
pick-micun-01,米村拌饭,B,石锅拌饭(去酱+去海苔碎),stone pot bibimbap no sauce no seaweed,减脂组合,用户UGC改法: 709→576,1,份,,,,,,,,estimated_range,520,630,,,,,,,third_party_analysis,https://post.smzdm.com/zz/p/akoekgv9/,米村拌饭全测评·500大卡怎么吃,2026-09-18,,"UGC给出逐项delta: 去酱709→635, 再去海苔碎→576",C,,米村拌饭 减脂,去酱(-74); 去海苔碎(-59); 米饭半份(-90),rice_bowl; combo,complete,2026-09-18,custom_combo,base=米饭; veg=蔬菜; protein=肉; sauce=去; topping=去海苔碎,拌饭酱; 海苔碎; 米饭份量,,520-630 kcal
