source_id,sku_id,brand,product_name,source_type,source_url,source_title,source_author,source_date,method_notes,is_official,confidence_grade,values_reported,notes
src-pick-mcd,pick-mcd-01,麦当劳,板烧鸡腿堡(去酱)+苹果片+无糖可乐,xiaohongshu_claim,https://post.smzdm.com/p/az60v5po//,麦当劳=减脂餐·减脂期搭配分享,什么值得买转载UGC,2026-09-18,无称重方法·仅点值·故C级区间,False,C,energy≈392kcal,
src-pick-mcd2,pick-mcd-02,麦当劳,原味板烧鸡腿堡+玉米杯+零度可乐,xiaohongshu_claim,https://post.smzdm.com/zz/p/ako777nr/,麦当劳减脂终极攻略400/500/600大卡套餐,什么值得买转载UGC,2026-09-18,无称重方法·仅点值,False,C,energy≈462kcal,
src-pick-kfc,pick-kfc-01,肯德基,新奥尔良烤鸡腿堡(无酱)+玉米杯+无糖可乐,xiaohongshu_claim,https://post.smzdm.com/p/a3rq7k6r/,减脂人肯德基点单攻略,什么值得买转载UGC,2026-09-18,无称重方法·仅点值,False,C,energy≈470kcal,
src-pick-lxj,pick-lxj-01,老乡鸡,小份糙米饭+卤鸡腿+青椒炒豆芽+白菜炖豆腐,xiaohongshu_claim,https://post.smzdm.com/p/a3m6v66r/,老乡鸡轻养四部曲·用户真实反馈,什么值得买转载UGC,2026-09-18,无称重方法·但单品可用官方4+1 per-100g复核,False,C,energy≈587kcal,
src-pick-micun,pick-micun-01,米村拌饭,石锅拌饭(去酱+去海苔碎),xiaohongshu_claim,https://post.smzdm.com/zz/p/akoekgv9/,米村拌饭全测评·500大卡怎么吃,什么值得买转载UGC,2026-09-18,给出逐项delta(去酱/去海苔碎/米饭份)·接近B但无称重照片·保守C,False,C,energy 709→635→576kcal,
src-pick-tastien,pick-tastien-01,塔斯汀,湘辣嫩鸡肉汉堡(去酱多菜),xiaohongshu_claim,https://post.smzdm.com/p/avvoonk9/,塔斯汀汉堡500kcal以内低卡吃法,什么值得买转载UGC,2026-09-18,无称重方法·仅点值,False,C,energy≈325kcal,
src-pick-shaxian,pick-shaxian-01,沙县小吃,去皮鸡腿饭(米饭减半),xiaohongshu_claim,https://post.smzdm.com/p/a95e3ko7/,沙县减脂必点清单·去皮鸡腿饭500大卡,什么值得买转载UGC,2026-09-18,无称重方法·门店非标准化,False,C,energy≈500-525kcal,
src-fm-xsw-570736,familymart-cn-haixian-shuangwei-sanjiao-fantuan,全家便利店,全家海鲜双味三角饭团,third_party_analysis,https://www.xuanshiwu.com/foods/570736.html,选食物网 · 全家海鲜双味三角饭团,选食物网(众包营养库),2024-10-22,选食物网(众包食品营养库)转录商品包装营养成分表(GB28050 '1+4')，数值为每100g基准；来源未附包装照片/净含量/钠值，纤维素字段多为0.00占位。本条宏量经Atwater(4/4/9)反算与所标能量自洽，判为可信的标签转录。,False,B,energy=194kcal/100g; protein=5.8g/100g; carbs=33.3g/100g; fat=4.2g/100g,每100g基准；净含量/钠未披露
src-fm-xsw-1059818,familymart-cn-aoerliang-kaoji-dakou-fantuan,全家便利店,奥尔良风味烤鸡大口饭团,third_party_analysis,https://www.xuanshiwu.com/foods/1059818.html,选食物网 · 奥尔良风味烤鸡大口饭团,选食物网(众包营养库),2024-12-11,选食物网(众包食品营养库)转录商品包装营养成分表(GB28050 '1+4')，数值为每100g基准；来源未附包装照片/净含量/钠值，纤维素字段多为0.00占位。本条宏量经Atwater(4/4/9)反算与所标能量自洽，判为可信的标签转录。,False,B,energy=176kcal/100g; protein=5.4g/100g; carbs=28.8g/100g; fat=4.1g/100g,每100g基准；净含量/钠未披露
src-fm-xsw-700132,familymart-cn-xianshu-huotui-sanmingzhi,全家便利店,鲜蔬火腿三明治,third_party_analysis,https://www.xuanshiwu.com/foods/700132.html,选食物网 · 鲜蔬火腿三明治,选食物网(众包营养库),2024-10-22,选食物网(众包食品营养库)转录商品包装营养成分表(GB28050 '1+4')，数值为每100g基准；来源未附包装照片/净含量/钠值，纤维素字段多为0.00占位。本条宏量经Atwater(4/4/9)反算与所标能量自洽，判为可信的标签转录。,False,B,energy=201kcal/100g; protein=9.0g/100g; carbs=21.0g/100g; fat=9.0g/100g,每100g基准；净含量/钠未披露
