brand,estimated_total_food_skus,researched_skus,coverage_percentage,missing_categories,status
跨品牌减脂友好选择库(Phase5),15,15,100.0,星巴克/吉野家/永和大王/袁记云饺的减脂组合(待补),swept; nutrition_complete=15/15
全家便利店,250,33,13.2,"便当/盒饭/饭盒类整类(照烧鸡排饭/咖喱饭/双拼饭等):本轮未收,缺逐品营养; 面食类整类(乌冬/意面/凉面/拌面):未收; 现制饮品(FamiCafé咖啡/奶茶/果茶)与现制熟食炸物(炸鸡/鸡排/薯条):未收,现制无逐品标签; 关东煮全部逐品数值:按串现售无逐品包装标签,仅收录代表性7项为needs_estimation,数值缺失; 牛奶/豆浆:全家在售多为全国性品牌包装品(特仑苏/维他奶/明治等),属各自品牌SKU而非全家自有鲜食,未纳入familymart-cn; 品牌包装乳制品/酸奶:仅收录活润轻食杯(全家在售),其余(明治/简爱/君乐宝等)为全国SKU,未纳入; 低卡零食:仅收录即食鸡胸/溏心蛋,坚果/蛋白棒/魔芋爽等包装零食多为全国品牌SKU,未纳入; 全部SKU的钠与糖:无任何来源披露,整列缺失;纤维素选食物网标0.00疑占位,留空; 2026在售核对与城市/区域限定、季节限定SKU:官方小程序/美团/饿了么需登录+定位,大众点评403,知乎需JS→blocked; 包装净含量(多数选食物网条目未给):按每100g基准记录,无法折算每份",swept; nutrition_complete=22/33
超级碗 FOODBOWL,58,48,82.8,官方逐项营养表（小程序/门店菜单牌标注重量+卡路里，需微信登录，BLOCKED）; 官方宏量数据（蛋白/碳水/脂肪）——除安心加盟网转载的鲜蔬锅2款外全线缺失; 膳食纤维 / 钠 / 糖 —— 全品牌全SKU缺失; 早餐线（2021-11上线：燕麦早餐饮、优格酸奶、美式咖啡、豆浆；具体SKU名与营养未取得）; 甜品线（未发现任何SKU，需确认是否根本不存在）; 三明治线（新浪AIGC稿将超级碗列入「三明治轻食店」实测，但门店/官网/第三方均未见三明治SKU，疑为误归类）; preset 碗的默认碳水/蔬菜/酱料配置（官网仅公开2款组成，其余8款预设碗默认配置未公开 → 整碗区间为假定值）; 季节性/限定款（咬春鲜笋鸡肉菜饭、地中海夏日沙拉、春日菜饭等季节款的当前在售状态）; 各城市门店菜单差异（京/沪/深/杭/蓉 100+直营店是否菜单一致未核）; 外卖平台专属套餐/组合（美团、饿了么上的套餐SKU与价格未取得）; legacy 组件当前状态（黑米饭、口蘑/芥兰、坚果碎、咖喱肉丸(珍肉植物肉)、麦子和麦燕麦饮、百香果水）; legacy 命名映射（盈科中心店「超级鸡胸肉碗/超级鲷鱼碗/超级沙拉碗」等旧命名与现命名的对应关系）; 花生碎、玉米片碎、墨西哥红米饭、糙米饭、牛油女神酱、迷雾紫薯燕麦奶、番茄辣酱(仅知30g) 的能量值,swept; nutrition_complete=3/48
肯德基,165,144,87.3,甜品站独立渠道菜单（与普通门店甜品站分属不同渠道，SKU 不同）; 团享餐/企业送（5人/10人/20人）当前状态 —— 仅见于陈旧镜像; 大神卡/咖啡卡/早餐卡权益 SKU 清单; 精选餐厅/交通枢纽/景区门店专属菜单（券档明示排除，SKU 可能与常规店分歧）; 儿童餐的具体食物组成（仅取到 IP 联名活动名，未取到餐内食物明细）; 当前官方零售价目表 —— 公开可得的 2026 大陆价目不存在，5iKFC 价目为 2016 年陈旧内容；仅取得促销价; 肯悦咖啡完整 25 款结构化清单（约 20 款已具名；『三柠』『黑金』仅出现在营销文案，未进入结构化套餐名称字段）; 区域/城市限定 SKU; 官方 per-SKU 营养表（品牌级阻断，见 blocked_sources）; 小红书称重/拆解实测数据（B 级）—— 登录墙，且公开转载页均标注『内容由AI生成』，本轮未取得任何满足 B 级『明确方法』要求的实测来源,swept; nutrition_complete=35/144
老乡鸡,191,191,100.0,门店每份实际克重(报告仅给每100g基准，per-份无法在不臆造前提下计算); 膳食纤维/糖(全线未公示); 套餐/组合SKU(报告未枚举组合套餐，仅单品); 季节性LTO新品(报告快照为2026-04，之后上新未含); 咸蛋黄狮子头卤制版单独数值(汇总表留空，仅溯源卡有蒸制/卤制两版); 外卖平台(美团/饿了么)实时在售清单与区域差异; 自制饮品/瓶装水等未纳入191检测范围的品类,swept; nutrition_complete=191/191
罗森,350,60,17.1,estimated_total_food_skus=350 为估计值：官网14个鲜食分类×每类约20-30个在售SKU+季节/区域限定；罗森在线小程序与美团/饿了么需登录，无法精确计数; 盒饭/便当、寿司、粥、面类、蒸包、串烧、咖啡、冷冻食品整类：本轮按任务范围只收减脂/健康高频鲜食子集，未建SKU（fatsecret/选食物网有红烧牛肉饭/煲仔饭/寿司组合等数据，可下轮补）; 豆浆/无糖豆浆：可访问来源未出现罗森自有豆浆SKU命名与营养表，缺失; 门店在售第三方品牌包装商品（简爱酸奶、泰森/优形/吉野物语即食鸡胸、明治保加利亚酸奶、开心果生牛乳、蟹柳等）：仅UGC零散每袋/每盒kcal，未逐SKU建库; 关东煮(熬点)逐串包装营养成分表无公开来源：仅2020网易热量表每串/块kcal（D级range）; 钠/糖/膳食纤维：fatsecret与选食物网均不提供钠与糖（选食物网仅个别给纤维素0.0），全部SKU该三字段留空，待包装标签实拍补录; 长尾甜品（泡芙/咖啡冻/阿萨姆红茶冻/麻薯/绿豆糕/瑞士卷其他口味/冰皮月亮芋泥抹茶味）有第三方库数据，但本轮控量60条未入库; blocked（未绕过）：罗森在线/罗森点点微信小程序无web入口；美团外卖、饿了么H5需登录+定位；小红书、知乎需登录；大众点评验证墙；选食物网/在线计算网/ohee.cn 对默认爬虫UA返回WAF 403/405/502（仅搜索页经浏览器UA+referer可读）,swept; nutrition_complete=44/60
麦当劳,60,60,100.0,奶昔 Milkshakes(草莓/香草/朱古力)：2026回归但无法解析CN产品营养页(已建needs_estimation占位SKU); McCafé 摩卡/冷萃/flat white/焦糖玛奇朵等单品：无法解析产品页slug; 套餐/超值套餐(preset combos)：分类页JS动态加载反复超时，未拆 combo_components; 开心乐园餐 Happy Meals(儿童套餐，为主菜+小食+饮品组合); 500大卡套餐(官网策展组合，未逐项拆分为SKU); 季节限定/新品(LTO)未穷举; 瓶装水/普通汽水/纯茶(按任务要求排除),swept; nutrition_complete=58/60
米村拌饭,70,64,91.4,饮品：门店有『3元饮料畅饮（可乐/雪碧/芬达）』（大众点评 2021 口径）——按任务要求普通汽水/瓶装水已排除；是否另有自营饮品（酸梅汤/豆浆/茶饮）未能从任何可访问来源确认，整类缺失; 外卖专属『金碗拌饭系列』完整成员：官方微博 2026-04-03 明确外卖改推该系列以替代石锅拌饭，但未列出成员清单；本库仅能以官网『经典拌饭』4款 + 美团券商品名（金枪鱼/照烧鸡腿肉/非遗石锅）交叉确认，系列全貌缺失; 单加小食全量：刺猬公社明确『米村拌饭有9种可以单加的小食，最便宜的只要2块钱』，本库仅确认到 菠菜/胡萝卜/杏鲍菇/甜玉米粒/海苔碎/水浸金枪鱼/煎蛋/酱香牛肉粒/石锅菜心 等项，未能核到官方 9 项清单，且单加牛肉/鸡腿肉的规格与价格缺失; 汤饭类（汤泡饭/泡菜汤饭/大酱汤饭等）：未在任何可访问来源中出现，整类缺失（门店仅有 石锅大酱汤、海带汤/解腻海菜汤、炖牛肉汤（存疑））; 双人餐/多人餐/团购套餐：财经天下提到『团购单人套餐20多元、双人餐60元出头』，但具体组合未获取（美团/大众点评团购页需登录）; 早餐/时段限定菜单：未发现米村有早餐线，但未从官方渠道确认，记为缺口; 月月上新 LTO 全量：官方自述『月月上新，每月10号』，本库仅捕获 鸡腿肉炖土豆（2025-11）与 轻食拌饭系列（2026-05），2025-12 至 2026-09 期间的其它新品全部缺失; 区域限定 SKU：轻食拌饭系列仅青岛/北京/上海/东北上市；咕嘟嘟黑鸭煲、儿童手抓饭等仅单店列表出现，区域差异未能刻画; 零售周边（按任务要求排除，仅记录）：电商零售装 米村拌饭酱/香菇酱/香辣蘸料、小程序在售 10斤装五常稻花香米——其包装标签数据已用于 sauce component 交叉验证，但不作为菜单 SKU 入库; 全部宏量营养素与钠/纤维/糖：除 单加煎蛋蛋白7g（谷传玲称重）与 零售酱料标签 外，米村所有菜品 SKU 的 protein/carbs/fat/fiber/sodium/sugar 均无来源 → 系统性缺口,swept; nutrition_complete=0/64
沙野轻食,38,31,81.6,外卖平台完整菜单与逐项标称kcal：美团/饿了么需登录+定位、官方小程序无web入口，记blocked；本库SKU命名靠加盟站+加盟商公众号+AIGC聚合文交叉，可能漏掉长尾SKU与城市差异SKU; 饮品整类：仅零星提及 无糖豆浆(约5元)、0卡气泡水/青苹果气泡水、柠檬水、果汁（AIGC文称『菜品包括…果汁』），无完整清单与命名，未建SKU; 汤类整类：未在任何可访问来源出现，缺失; 甜品整类：未在任何可访问来源出现，缺失; 早餐轻食/家庭分享餐：官方加盟站宣称有此细分品类但未列成员，缺失; 小食/加料全量：仅确认 椒盐小土豆、香煎千页豆腐、菠菜饼(<10元)、水煮蛋、鸡胸肉加料、虾仁加料；官方加料清单缺失; 区域限定与季节限定SKU：如『川味鸡胸肉卷』（官方加盟站提及）等未建SKU; 瓶装水/普通汽水/周边：按任务要求排除，仅记录; 全部SKU的钠/纤维/糖：无任何来源披露，整列缺失,swept; nutrition_complete=1/31
Subway 赛百味中国,78,75,96.2,"官方营养表(中国Subway未公开); preset宏量(蛋白/碳水/脂肪,仅BMT有第三方值); 百味卷营养; 能量碗营养; 早餐营养; 小食营养; 曲奇营养; 儿童餐套餐营养; 酱料/蛋白质的官方成分营养(现仅Sina AI量级值); 12英寸逐项官方值; 膳食纤维/钠/糖(全线缺失); estimated_total 由58修正为78: 初估漏计儿童餐/曲奇/咖啡线, 以实际inventory为准",swept; nutrition_complete=1/75
