template_id,name,category,typical_components,variable_parameters,typical_portion,energy_range_kcal,protein_range_g,uncertainty_drivers,confidence_grade,sources,notes
"tpl-malatang","麻辣烫","hotpot","蔬菜/菌菇;豆制品;丸滑;肉片;宽粉/面","汤底类型(菌菇番茄vs麻辣浓骨);是否喝汤;蘸料(稀麻酱vs胡辣椒面);主食有无与份量;称重克数","按称重600-1000g","450-1500","20-45","称重不透明;汤油吸附;麻酱倍量;是否喝汤","C","https://www.sohu.com/a/712891503_121435083; https://post.smzdm.com/p/az84376n/; https://www.sina.cn/news/detail/5287301665784148.html","减脂搭配<500kcal;夜宵一碗>1500kcal;区间覆盖两极·蘸料锚点:胡辣椒面约22kcal/稀麻酱约32kcal"
"tpl-shaxian","沙县类快餐","chinese_fastfood","蒸饺;馄饨;拌面;炖罐;鸡腿饭","米饭是否减半;去皮否;是否炒粉炒面;油豆腐","单点/套餐","326-1133","15-40","门店非标准化;酱料油量","C","https://post.smzdm.com/p/a95o2rr5/; https://www.zhihu.com/question/1963283307123967345","实测锚点:柳叶蒸饺354/鲜肉馄饨380/鸡丝凉面+卤蛋430/去皮鸡腿饭套餐(饭减半)525/红烧牛腩饭569/蛋炒饭845/炒米粉805/肥肠炒饭1133"
"tpl-huangmenji","黄焖鸡米饭","rice_bowl","带皮鸡腿肉;土豆青椒;米饭;浓酱汁","皮去否;酱汁浇饭量;米饭克数(150g约195kcal);加菜","整份约450g","580-650","30-40","酱汁糖油额外80-120kcal;连锁与小店配方差异","C","https://jianghu.taobao.com/detail/47730_82704246",""
"tpl-lanzhou","兰州牛肉面","noodles","拉面200g;牛腩120g;清汤;辣油","面量(几两);辣油;加肉/加蛋;是否喝汤","1碗约380g","400-520","20-30","店型差异大(街边vs陈香贵类)","C","https://chinesecalorie.com/china/foods/noodles/lanzhou-beef-noodles-cn","约456kcal/380g(120kcal/100g)"
"tpl-cq-xiaomian","重庆小面","noodles","碱水面;红油辣椒;芽菜花生碎;青菜","红油/猪油量;豌杂加料;面量;是否清汤","1份","380-520","10-18","红油量不可见","C","https://jianghu.taobao.com/detail/47730_82676362","另有450-520口径·取并集"
"tpl-shiguo-bibimbap","石锅拌饭(米村类)","rice_bowl","米饭;蔬菜;肉;拌饭酱;海苔碎;蛋","去酱(709→635);去海苔碎(→650);两者都去→576;米饭半份180/三分之一120","1石锅","500-950","20-35","拌饭酱与海苔碎为最大变量;品牌有明示小店无","B","https://post.smzdm.com/zz/p/akoekgv9/","米村实测:牛肉粒750→551;金枪鱼952→621;控量组合500-510"
"tpl-shaolao","烧腊饭","rice_bowl","叉烧/烧鸭/白切鸡;米饭;青菜","肉种与肥瘦;去皮;双拼;汁淋饭","1碟","unknown","","档口切配份量随机;华南讨论集中","D","","待估·needs_estimation"
"tpl-luosifen","螺蛳粉","noodles","米粉;酸笋;腐竹;花生;红油汤","油包全放/半放;腐竹花生取舍;加卤味","成品约220g干料","420-480","15-25","料包使用率","C","https://jianghu.taobao.com/guanglocal/47730_6df3897f237cb6805024b1eee799d0ca","标准一碗约450kcal"
"tpl-huntun-jiaozi","馄饨/饺子","dumpling","皮+肉/菜馅;汤","个数;馅肥瘦;蘸醋vs辣油;配主食","10-15个","300-450","15-30","个数与皮厚","C","https://post.smzdm.com/p/a95o2rr5/","沙县鲜肉馄饨380可参照"
"tpl-mixian","米线/过桥米线","noodles","米线;汤底;配菜;辣椒油花生酱","清汤vs浓汤;油炸配料;油酱克数(10g油约+90kcal)","1大碗","400-900","15-30","碗体量大;汤油分层;整碗密度90-300kcal/100g","C","https://www.familydoctor.cn/hlthsci/guoqiao-mixian-re-liangcha-3bei-xuandui-3dian-chizhe-anxin-675389.html","热量差可达3倍·减脂目标约100kcal/100g"
"tpl-weighed-dish","自选称重菜","weighed","食堂/小碗菜多品类","克数;菜式油糖;米饭量","1盘","400-700","15-35","外卖端渗透低·线上化难","C","https://m.baidu.com/bh/m/detail/ar_3357481785483898328","实测案例623/428kcal"
"tpl-maocai","冒菜","hotpot","同麻辣烫但底料更重","底料;油碟;主食","1份","500-900","20-40","与麻辣烫边界模糊","D","","待估·needs_estimation"
"tpl-gaifan","中式盒饭/盖浇饭","rice_bowl","米饭+料理包浇头","浇头种类;汁拌饭;料理包","1盒","500-900","15-35","料理包钠油不透明","D","https://news.qq.com/rain/a/20240802A08XNK00; https://foodaily.com/articles/36405","媒体标签热量炸弹 vs 黄人饭减脂正向讨论并存"
"tpl-congee","粥","congee","白粥/皮蛋瘦肉粥+配碟","粥种;配油条/咸菜","1碗","150-300","5-15","升糖快饱腹差·减脂讨论偏负面","C","https://jianghu.taobao.com/detail/47729_70869114","自制皮蛋瘦肉粥180-220kcal"
"tpl-sushi-don","日式盖饭/寿司","japanese","醋饭;刺身/炸物;酱","炸vs生;酱料;卷数","1份","400-800","15-35","讨论量低","D","","待估·needs_estimation"
"tpl-combo-breakfast","黑咖啡+全麦面包+鸡蛋","combo","黑咖啡;全麦面包1-2片;水煮蛋1","面包片数;鸡蛋数","1套","250-350","12-18","面包尺寸","C","https://www.lezuocai.com/recipe/1251426/","快手食谱标称约300kcal·早餐首选"
"tpl-combo-onigiri","便利店饭团+牛奶/乌龙茶","combo","三角饭团;牛奶或无糖乌龙茶","饭团馅种(255/380/513)","1套","250-520","8-20","馅种决定热量","B","https://post.smzdm.com/p/arln4k9z/; https://post.smzdm.com/zz/p/agok80q6/","包装标签可精确算账·用户自设筛选线<300kcal"
"tpl-combo-sandwich","三明治+咖啡","combo","三明治;黑咖啡/拿铁","三明治种类;是否加奶","1套","300-500","15-25","酱与芝士","C","https://post.smzdm.com/zz/p/agok80q6/","7-11有专门测评内容"
"tpl-combo-odenn","关东煮四件套+香煎鸡排","combo","白萝卜/海带/豆腐/白菜;香煎鸡排","件数;是否加鸡排","1套","350-450","25-35","鸡排烹调油","B","https://post.smzdm.com/zz/p/agok80q6/","7-11测评给出5个约400kcal方案·冬季高频"
"tpl-combo-yogurt","酸奶+水果","combo","无糖酸奶;苹果/莓果","酸奶含糖量;水果种类","1套","150-300","8-15","酸奶添加糖","C","https://www.163.com/dy/article/L5DTDBCO055643BW.html","下午3点加餐场景·掉秤食谱传播广"
"tpl-combo-chicken-breast","即食鸡胸+魔芋面+蔬菜沙拉","combo","即食鸡胸;魔芋面;蔬菜;酱汁","酱汁种类","1套","250-400","30-40","酱汁为唯一大变量","C","","魔芋/乌龙茶=极低卡锚点"
