brand,category,city_coverage,delivery_platform_presence,xiaohongshu_presence,menu_standardization,nutrition_data_availability,priority,reason
"沙野轻食","A","全国加盟·人均约40","高","高","高","仅部分·上海消保委实测点名标注不靠谱","high","多份2026连锁榜领跑；但标称vs实测冲突典型，是confidence处理的试金石"
"麦田归来·轻食拌饭","A","北京/上海/泰州","高","高","高","仅部分","high","用户清单外·减脂外卖内容出现频次最高的品牌（中式热轻食路线）"
"沙拉拉轻食","A","全国70+城200+店","高","高","高","无官方表","high","人均31元跑量模型·加盟头部·单店月销5000+"
"超级碗FOODBOWL","A","京沪深杭蓉·直营100+","高","中高","高","部分·菜单宣称400-600大卡(仅merchant_claim)","high","2025-07破百店年营收4亿+·健康碗直营标杆·component model案例"
"KPRO肯律轻食","A","湖南一年50家·扩南宁/襄阳","高","中","高","部分","med","肯德基体系新势力·下沉最快·清单外发现"
"超能鹿战队","A","全国加盟","中高","中","中","部分·宣称38g蛋白","med","健身餐定位榜单前三·佐证来源单一"
"Wagas","A","上海为主+成都等一线","中","中","高","部分·仅第三方测评","med","品牌指数居首但人均85非高频刚需"
"gaga鲜语","A","深圳/一线","中","中","中","无","med","榜单前三但实质brunch休闲非减脂场景"
"维小饭","A","深圳为主","中","低","高","有官方数字化卡路里表(全类最完整)","med","营养数据标杆·但2025-26活跃度未验证"
"蔓味轻食","A","区域·中式热轻食","中高","低中","中","未验证","med","宣称月销4万单·与谨食成对出现于对比稿"
"无谷轻食","A","未验证","未验证","无","未验证","未验证","low","仅官网+招商内容·无用户端声量"
"大开沙界","A","未验证","未验证","低","未验证","未验证","low","只见于加盟对比稿·冷沙拉路线声量衰退"
"睿健卡路里","A","未验证","未验证","低","未验证","未验证","low","单篇软文提及·无独立佐证"
"麦当劳","B","7500+店·冲万店","高","极高","高","有·官网营养计算器+500大卡套餐官方线","high","唯一自带官方营养计算器且官方推低卡套餐线"
"肯德基","B","12640家·全国最广","高","极高","高","未验证·无官方表","high","门店最多+减脂点单内容海量·缺官方数据=App价值大"
"老乡鸡","B","2000家·华东华中强","高","高","高","有·公示191在售菜品4+1(热量/蛋白/脂肪/碳水/钠)","high","中式快餐营养公示最完整·可直接结构化入库"
"米村拌饭","B","1915家·18省163市","高","高","高","未验证","high","健身/减脂拼好饭高频·UGC实测含去酱/去海苔碎逐项delta"
"塔斯汀","B","门店破万·下沉强","高","高","中高","未验证","high","万店规模+500kcal以内低卡吃法攻略成体系·清单外发现"
"沙县小吃","B","全国密度最高·加盟松散","高","高","低","无","high","心智最强但SKU最不标准·帮用户做合理选择的最大机会点"
"袁记云饺","B","4773家","高","高","高","未验证","med","减脂期怎么吃水饺内容多·门店密集·清单外发现"
"Subway赛百味","B","1200+家·一二线为主","高","高","高","有·公开热量表","med","数据齐全但品类已偏轻食·customizable组件模型案例"
"吉野家","B","约570家·北方集中","高","中","高","未验证·日本官网有中国区未见","med","覆盖收缩·牛肉饭单份约650kcal需改造"
"星巴克","B","内地7000+家","高","高","高","未验证","med","减脂场景是配饮品而非正餐"
"永和大王","B","537家","高","中","中高","未验证","med","早餐场景为主·用户推轻食碗/蒸蛋/白灼菜"
"Tims天好","B","1047家","高","中","高","未验证","low","官方主张健康低负担但门店少·贝果碳水偏高"
"汉堡王","B","未验证","未验证","未验证","未验证","未验证","low","检索中未见减脂用户高频讨论"
"罗森","B","华东/华中强·全国布局","中","高","高","高·包装营养成分表","high","P0·鲜食矩阵最全·减脂内容最密·数据校准锚点"
"全家","B","华东/华南/川渝","中","高","高","高·包装营养成分表","high","P0·早餐套餐化价格锚点清晰·饿了么24小时合作"
"7-11","B","华南/京津·区域分割","中","中高","高","高·包装营养成分表","med","组合方案成熟(5个400kcal搭配)·但中国主体分散"
"便利蜂","B","华北为主·收缩","未验证","低","高","高","low","网络收缩·投入产出比低"
