sku,brand,existing_info,missing_info,recommended_estimation_method,worth_further_research
familymart-cn-yanxun-jirou-shucai-shala 烟熏鸡肉蔬菜沙拉,全家便利店,description; xhs_keywords,protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
familymart-cn-huorun-qingshi-bei 活润0添加蔗糖轻食杯,全家便利店,"description; merchant_claim:0添加蔗糖(商品标签,非本库核实); xhs_keywords",protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
familymart-cn-oden-bailuobo 关东煮 白萝卜,全家便利店,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
familymart-cn-oden-moyusi 关东煮 魔芋丝/魔芋结,全家便利店,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
familymart-cn-oden-haidaijie 关东煮 海带结,全家便利店,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
familymart-cn-oden-jidan 关东煮 鸡蛋,全家便利店,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
familymart-cn-oden-yudoufu 关东煮 鱼豆腐,全家便利店,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
familymart-cn-oden-jirouwan 关东煮 鸡肉丸,全家便利店,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
familymart-cn-oden-saniaoniuwan 关东煮 撒尿牛丸,全家便利店,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
familymart-cn-zhaoshao-jipai-fantuan 照烧鸡排饭团,全家便利店,"description; merchant_claim:UGC/AI测评称约380–390大卡/份(未核实,不采信为营养事实); xhs_keywords",energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
familymart-cn-susong-danhuangjiang-sanjiao-fantuan 酥松蛋黄酱三角饭团,全家便利店,"description; merchant_claim:UGC/AI测评称约255大卡/份(未核实,不采信); 同源称金枪鱼沙拉三角饭团513大卡/份(疑失真); xhs_keywords",energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
foodbowl-cn-mizhi-jitui-superbowl 蜜汁鸡腿超级碗,超级碗 FOODBOWL,description; merchant_claim:官网标注 550Kcal/份（约473克/份）; 十年销冠; 门店现烤; 菜单/媒体笼统宣称「一份约400-600大卡」; combo_components; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-sanwenyu-duodanbai-reweng-shala 三文鱼多蛋白热烹沙拉,超级碗 FOODBOWL,description; merchant_claim:官网标注 510Kcal/份（约440克/份）; 精准控卡; 3种优质慢碳水; 菜单/媒体笼统宣称「一份约400-600; combo_components; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-guomu-yanxun-jixiong-superbowl 果木烟熏鸡胸超级碗,超级碗 FOODBOWL,description; merchant_claim:菜单/媒体笼统宣称「一份约400-600大卡」——为 merchant_claim，未填入任何营养数值字段; 菜单每款配; combo_components; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-fanqie-niunan-superbowl 番茄牛腩超级碗,超级碗 FOODBOWL,description; merchant_claim:菜单/媒体笼统宣称「一份约400-600大卡」——为 merchant_claim，未填入任何营养数值字段; 菜单每款配; combo_components; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-yamaziyou-kaoxia-superbowl 亚麻籽油烤虾超级碗,超级碗 FOODBOWL,description; merchant_claim:菜单/媒体笼统宣称「一份约400-600大卡」——为 merchant_claim，未填入任何营养数值字段; 菜单每款配; combo_components; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-jinqiangyu-wenquandan-superbowl 金枪鱼温泉蛋超级碗,超级碗 FOODBOWL,description; merchant_claim:菜单/媒体笼统宣称「一份约400-600大卡」——为 merchant_claim，未填入任何营养数值字段; 菜单每款配; combo_components; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-xiangjian-sanwenyu-superbowl 香煎三文鱼超级碗,超级碗 FOODBOWL,description; merchant_claim:菜单/媒体笼统宣称「一份约400-600大卡」——为 merchant_claim，未填入任何营养数值字段; 菜单每款配; combo_components; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-riben-qiwei-doufu-superbowl 日式七味豆腐超级碗,超级碗 FOODBOWL,description; merchant_claim:菜单/媒体笼统宣称「一份约400-600大卡」——为 merchant_claim，未填入任何营养数值字段; 菜单每款配; combo_components; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-taile-xiaren-superbowl 泰辣虾仁超级碗,超级碗 FOODBOWL,description; merchant_claim:菜单/媒体笼统宣称「一份约400-600大卡」——为 merchant_claim，未填入任何营养数值字段; combo_components; xhs_keywords,energy; protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-taishi-baixia-superbowl 泰式白虾超级碗,超级碗 FOODBOWL,description; merchant_claim:菜单/媒体笼统宣称「一份约400-600大卡」——为 merchant_claim，未填入任何营养数值字段; combo_components; xhs_keywords,energy; protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-ningmeng-jixiongrou-superbowl 柠檬鸡胸肉超级碗,超级碗 FOODBOWL,description; merchant_claim:菜单/媒体笼统宣称「一份约400-600大卡」——为 merchant_claim，未填入任何营养数值字段; combo_components; xhs_keywords,energy; protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-hanshi-paocai-jixiongrou-superbowl 韩式泡菜鸡胸肉超级碗,超级碗 FOODBOWL,description; merchant_claim:菜单/媒体笼统宣称「一份约400-600大卡」——为 merchant_claim，未填入任何营养数值字段; combo_components; xhs_keywords,energy; protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-chaoji-doufu-wan 超级豆腐碗,超级碗 FOODBOWL,description; merchant_claim:菜单/媒体笼统宣称「一份约400-600大卡」——为 merchant_claim，未填入任何营养数值字段; combo_components; xhs_keywords,energy; protein; carbs; fat; sodium,component_estimate,yes
